comparison,pair,Cell type category,other Cell type category,symbol,delta,lambda,gene error mean,rank,level
30,mono_derived t_cell,mono_derived,t_cell,PSAP,-13235.89546705504,11.45925080621188,0.11299797230643559,1,2
25,mono_derived b_cell,mono_derived,b_cell,PSAP,-12499.465173447956,11.45925080621188,0.11299797230643559,1,2
15,granulocyte mast_cell,granulocyte,mast_cell,ITGB2,-12166.832811209568,10.023753983314702,0.03900760627075819,1,2
32,natural_killer dendritic,natural_killer,dendritic,GNLY,-11313.636938578054,10.328358413757382,0.07217137327283997,2,2
31,natural_killer b_cell,natural_killer,b_cell,GNLY,-11224.644024513314,10.328358413757382,0.07217137327283997,1,2
34,natural_killer mast_cell,natural_killer,mast_cell,GNLY,-11179.798145740422,10.328358413757382,0.07217137327283997,1,2
8,dendritic granulocyte,dendritic,granulocyte,CD74,-10836.286634252509,12.019587702253595,0.1322224102537011,1,2
28,mono_derived mast_cell,mono_derived,mast_cell,CTSS,-10475.451138677838,10.349391380782272,0.03115616353990432,1,2
19,mast_cell b_cell,mast_cell,b_cell,FCER1G,-10459.450252551793,10.421390379362187,0.09540611478560833,4,2
9,dendritic mast_cell,dendritic,mast_cell,HLA-DRA,-10221.206478303651,11.028870189680786,0.08079394273101798,2,2
19,mast_cell b_cell,mast_cell,b_cell,ANXA1,-10088.839297582179,10.978305953700325,0.13149052434023034,5,2
21,mast_cell granulocyte,mast_cell,granulocyte,VWA5A,-10063.334941938168,9.968698770199346,0.06585572640300007,4,2
24,mast_cell t_cell,mast_cell,t_cell,VWA5A,-9901.845871752983,9.968698770199346,0.06585572640300007,4,2
33,natural_killer granulocyte,natural_killer,granulocyte,GNLY,-9879.600240516687,10.328358413757382,0.07217137327283997,1,2
19,mast_cell b_cell,mast_cell,b_cell,VWA5A,-9870.389037282996,9.968698770199346,0.06585572640300007,6,2
23,mast_cell natural_killer,mast_cell,natural_killer,VWA5A,-9835.34775602589,9.968698770199346,0.06585572640300007,4,2
32,natural_killer dendritic,natural_killer,dendritic,"ENST00000392730,p1",-9514.657909411224,10.222861392970753,0.05838127241687374,3,2
3,b_cell mast_cell,b_cell,mast_cell,CD74,-9199.299905409242,11.68916907160328,0.25929467951272905,1,2
35,natural_killer mono_derived,natural_killer,mono_derived,GNLY,-9184.168760972649,10.328358413757382,0.07217137327283997,1,2
19,mast_cell b_cell,mast_cell,b_cell,HPGD,-9127.957454770998,11.362708533518886,0.263461146740707,7,2
20,mast_cell dendritic,mast_cell,dendritic,HPGD,-9116.180754978035,11.362708533518886,0.263461146740707,4,2
23,mast_cell natural_killer,mast_cell,natural_killer,HPGD,-9011.932868359581,11.362708533518886,0.263461146740707,5,2
20,mast_cell dendritic,mast_cell,dendritic,VWA5A,-8973.862960868315,9.968698770199346,0.06585572640300007,5,2
22,mast_cell mono_derived,mast_cell,mono_derived,VWA5A,-8973.855995387907,9.968698770199346,0.06585572640300007,4,2
19,mast_cell b_cell,mast_cell,b_cell,SERPINB1,-8918.554862901057,10.712462857765088,0.1546660401172952,8,2
19,mast_cell b_cell,mast_cell,b_cell,FCER1A,-8918.140247520649,10.188112293597417,0.08548453847578703,9,2
21,mast_cell granulocyte,mast_cell,granulocyte,HPGD,-8825.81455483687,11.362708533518886,0.263461146740707,5,2
24,mast_cell t_cell,mast_cell,t_cell,FCER1A,-8628.20143323087,10.188112293597417,0.08548453847578703,5,2
24,mast_cell t_cell,mast_cell,t_cell,SERPINB1,-8333.473855306613,10.712462857765088,0.1546660401172952,6,2
21,mast_cell granulocyte,mast_cell,granulocyte,FCER1A,-8236.82870676177,10.188112293597417,0.08548453847578703,6,2
23,mast_cell natural_killer,mast_cell,natural_killer,SERPINB1,-8212.16440418519,10.712462857765088,0.1546660401172952,6,2
34,natural_killer mast_cell,natural_killer,mast_cell,HLA-B,-8002.51299190924,10.910570768912905,0.07832287839641584,2,2
24,mast_cell t_cell,mast_cell,t_cell,HPGD,-7990.552849754751,11.362708533518886,0.263461146740707,7,2
23,mast_cell natural_killer,mast_cell,natural_killer,FCER1A,-7919.841770044839,10.188112293597417,0.08548453847578703,7,2
23,mast_cell natural_killer,mast_cell,natural_killer,HPGDS,-7891.169964861587,10.486492887250064,0.1547776614628711,8,2
21,mast_cell granulocyte,mast_cell,granulocyte,HPGDS,-7884.480523800601,10.486492887250064,0.1547776614628711,7,2
20,mast_cell dendritic,mast_cell,dendritic,HPGDS,-7786.795062551151,10.486492887250064,0.1547776614628711,6,2
34,natural_killer mast_cell,natural_killer,mast_cell,ITGB2,-7783.722058556106,9.627111459249484,0.06705696956861337,3,2
13,granulocyte b_cell,granulocyte,b_cell,ITGB2,-7773.331682292673,10.023753983314702,0.03900760627075819,1,2
20,mast_cell dendritic,mast_cell,dendritic,RAB27B,-7607.195846872176,9.61802349805105,0.04277402264687306,7,2
30,mono_derived t_cell,mono_derived,t_cell,CTSS,-7601.229586282367,10.349391380782272,0.03115616353990432,2,2
22,mast_cell mono_derived,mast_cell,mono_derived,HPGDS,-7594.883985814676,10.486492887250064,0.1547776614628711,5,2
3,b_cell mast_cell,b_cell,mast_cell,MS4A1,-7480.9566383424535,10.111696706721654,0.08097043584028853,2,2
22,mast_cell mono_derived,mast_cell,mono_derived,RAB27B,-7407.5798170166,9.61802349805105,0.04277402264687306,6,2
28,mono_derived mast_cell,mono_derived,mast_cell,ITGB2,-7343.612103321576,9.895498374693165,0.04572915238614071,2,2
2,b_cell granulocyte,b_cell,granulocyte,MS4A1,-7283.074554873913,10.111696706721654,0.08097043584028853,1,2
22,mast_cell mono_derived,mast_cell,mono_derived,HPGD,-7275.8104427478265,11.362708533518886,0.263461146740707,7,2
24,mast_cell t_cell,mast_cell,t_cell,RAB27B,-7273.088915867873,9.61802349805105,0.04277402264687306,8,2
24,mast_cell t_cell,mast_cell,t_cell,HPGDS,-7245.287834580166,10.486492887250064,0.1547776614628711,9,2
4,b_cell mono_derived,b_cell,mono_derived,MS4A1,-7188.376014888186,10.111696706721654,0.08097043584028853,1,2
21,mast_cell granulocyte,mast_cell,granulocyte,FXYD5,-7139.393558197244,10.41522139040443,0.1506949584554166,8,2
12,dendritic t_cell,dendritic,t_cell,PSAP,-7136.334286022062,11.197230264161806,0.19055752309026186,1,2
