sample,error mean,pair,ct1,ct2,error min,error mean relative,n markers pass 1,n markers
105_mono_derived natural_killer,0.002019023589553222,dendritic mono_derived,dendritic,mono_derived,0.05,0.2009489283152922,31,NA
167_epithelial immune_cell,0.0016447250654692846,fibroblast epithelial,fibroblast,epithelial,0.05,0.18136841320744274,75,NA
225_b_cell mono_derived,0.0015209813808784883,t_cell b_cell,t_cell,b_cell,0.05,0.1744122347129632,47,NA
84_endothelial immune_cell,0.0014902743574872065,fibroblast immune_cell,fibroblast,immune_cell,0.05,0.1726426573872869,54,NA
14_dendritic mono_derived,0.0014879536310536067,t_cell dendritic,t_cell,dendritic,0.05,0.1725081813163426,54,NA
11_b_cell mast_cell,0.0014465619298060033,fibroblast b_cell,fibroblast,b_cell,0.05,0.17009185340903327,NA,NA
139_epithelial fibroblast,0.001416313551508064,endothelial epithelial,endothelial,epithelial,0.05,0.1683041028322283,41,NA
258_dendritic t_cell,0.0013869514080200548,mono_derived dendritic,mono_derived,dendritic,0.05,0.16655037724484772,31,NA
41_dendritic mono_derived,0.0013647978785834179,t_cell dendritic,t_cell,dendritic,0.05,0.16521488302107762,54,NA
212_mast_cell mono_derived,0.0012673500274756955,t_cell mast_cell,t_cell,mast_cell,0.05,0.15920741361354349,37,NA
64_b_cell t_cell,0.001190759046263154,mono_derived b_cell,mono_derived,b_cell,0.05,0.1543216800234597,29,NA
65_b_cell mast_cell,0.0011130259832743239,fibroblast b_cell,fibroblast,b_cell,0.05,0.149199596733659,NA,NA
175_dendritic granulocyte,0.0010745890137392054,mono_derived dendritic,mono_derived,dendritic,0.05,0.1466007512763291,31,NA
200_b_cell mast_cell,9.157755245569014e-4,epithelial b_cell,epithelial,b_cell,0.05,0.13533480886726085,NA,NA
178_dendritic mast_cell,8.858661927674063e-4,fibroblast dendritic,fibroblast,dendritic,0.05,0.13310643806874303,NA,NA
101_granulocyte mast_cell,7.597126900766984e-4,fibroblast granulocyte,fibroblast,granulocyte,0.05,0.12326497394448258,NA,NA
236_granulocyte mast_cell,7.094117663878714e-4,epithelial granulocyte,epithelial,granulocyte,0.05,0.1191143791813458,NA,NA
131_mast_cell mono_derived,6.586536989853407e-4,epithelial mast_cell,epithelial,mast_cell,0.05,0.11477401264967088,NA,NA
254_b_cell mast_cell,6.39225915080103e-4,mono_derived b_cell,mono_derived,b_cell,0.05,0.11306864420166211,29,NA
119_b_cell mast_cell,6.136538887444294e-4,epithelial b_cell,epithelial,b_cell,0.05,0.11078392381067113,NA,NA
197_b_cell granulocyte,5.911059626969792e-4,mono_derived b_cell,mono_derived,b_cell,0.05,0.10872956936335021,29,NA
68_dendritic mono_derived,4.4376381040024963e-4,t_cell dendritic,t_cell,dendritic,0.05,0.09420868435555711,54,NA
70_dendritic mast_cell,3.752052236904938e-4,mono_derived dendritic,mono_derived,dendritic,0.05,0.0866262343277709,31,NA
31_epithelial fibroblast,3.612926250517583e-4,endothelial epithelial,endothelial,epithelial,0.05,0.08500501456405478,41,NA
144_b_cell mono_derived,3.091263105128774e-4,dendritic b_cell,dendritic,b_cell,0.05,0.07862904177374634,64,NA
240_mono_derived natural_killer,2.858481095758659e-4,granulocyte mono_derived,granulocyte,mono_derived,0.05,0.07561059576221654,57,NA
239_mast_cell mono_derived,2.1682313633964784e-4,b_cell mast_cell,b_cell,mast_cell,0.05,0.06585182402024227,20,NA
250_b_cell dendritic,1.8136212740832482e-4,mono_derived b_cell,mono_derived,b_cell,0.05,0.06022659336345113,29,NA
213_mono_derived natural_killer,1.420974454428736e-4,dendritic mono_derived,dendritic,mono_derived,0.05,0.0533099325534883,31,NA
118_b_cell t_cell,1.3120195475410272e-4,granulocyte b_cell,granulocyte,b_cell,0.05,0.05122537549966866,32,NA
154_granulocyte t_cell,9.838035496373355e-5,endothelial granulocyte,endothelial,granulocyte,0.05,0.04435771747142397,NA,NA
186_mono_derived natural_killer,8.815966852938136e-5,b_cell mono_derived,b_cell,mono_derived,0.05,0.041990396170882065,29,NA
63_b_cell mono_derived,7.858201453440073e-5,dendritic b_cell,dendritic,b_cell,0.05,0.03964391871003691,64,NA
127_granulocyte t_cell,7.779549610727779e-5,natural_killer granulocyte,natural_killer,granulocyte,0.05,0.03944502404797791,53,NA
262_granulocyte t_cell,6.597144134599955e-5,b_cell granulocyte,b_cell,granulocyte,0.05,0.03632394288785278,32,NA
46_granulocyte t_cell,5.461145451564405e-5,natural_killer granulocyte,natural_killer,granulocyte,0.05,0.033048889396058094,53,NA
125_dendritic natural_killer,3.29948055029616e-5,mono_derived dendritic,mono_derived,dendritic,0.05,0.025688443122525585,31,NA
151_dendritic mast_cell,3.273779979940652e-5,mono_derived dendritic,mono_derived,dendritic,0.05,0.025588200327262767,31,NA
10_b_cell t_cell,3.1219159305682626e-5,natural_killer b_cell,natural_killer,b_cell,0.05,0.024987660677095253,54,NA
81_mast_cell natural_killer,2.6049741359168554e-5,t_cell mast_cell,t_cell,mast_cell,0.05,0.02282531110813982,37,NA
156_granulocyte natural_killer,2.553356565902571e-5,t_cell granulocyte,t_cell,granulocyte,0.05,0.02259803781704319,82,NA
169_b_cell dendritic,2.1961607849646504e-5,mono_derived b_cell,mono_derived,b_cell,0.05,0.020957866231869363,29,NA
